Offset(P)            #Ptr   #Hnd Access Name
0x0000000006129d68      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Media\Windows XP Ding.wav
0x000000000612b208      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RVSPROGRESSDIALOG.EXE-22D88776.pf
0x000000000612b400      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RVSINTEGRATIONMANAGER.EXE-0A8E5DD5.pf
0x000000000612b5f8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RVBREWIZ.EXE-02EFC1DD.pf
0x000000000612b7f0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RVBDIALOGS.EXE-0B2D1F5A.pf
0x000000000612b9e8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNONCE.EXE-2803F297.pf
0x000000000612bbe0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-4B2E5905.pf
0x000000000612be68      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\시작 메뉴\프로그램\보조프로그램\통신\네트워크 연결.lnk
0x000000000612c078      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\PING.EXE-31216D26.pf
0x000000000612c270      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\OOBEBALN.EXE-1BF3CBB1.pf
0x000000000612c468      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\ODBCCONF.EXE-147BCB6F.pf
0x000000000612c660      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\MSVM.EXE-3248CB03.pf
0x000000000612c858      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\MSJAVX86.EXE-19D8EEFE.pf
0x000000000612ca50      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\MSIEXEC.EXE-2F8A8CAE.pf
0x000000000612cc48      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\MSDEV.EXE-0AB299BF.pf
0x0000000006130028      2      1 ------ \Device\NamedPipe\lsass
0x00000000061302d8      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND5.WAV
0x00000000061303c0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\isapnp.sys
0x0000000006130a00      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\시작 메뉴\프로그램\보조프로그램\엔터테인먼트\desktop.ini
0x0000000006130f28      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000061313c8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x0000000006131870      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\시작 메뉴\프로그램\Windows Messenger.lnk
0x0000000006131908      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Administrator\시작 메뉴\프로그램\Windows Media Player.lnk
0x00000000061319a0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\mpr.dll
0x0000000006131a38      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Administrator\Recent\HelpMe.lnk
0x0000000006131ad0      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\시작 메뉴\프로그램\보조프로그램\desktop.ini
0x0000000006131b68      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\shell32.dll
0x0000000006131c00      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\imagehlp.dll
0x0000000006131f28      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\mountmgr.sys
0x0000000006134080      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\rdbss.sys
0x0000000006134180      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Administrator\시작 메뉴\프로그램\보조프로그램\프로그램 호환성 마법사.lnk
0x0000000006134228      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND26.WAV
0x0000000006134500      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\CTFMON.EXE-0E17969B.pf
0x0000000006134bd0      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND12.WAV
0x0000000006134cf0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\win.ini
0x00000000061352e0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\npfs.sys
0x0000000006135a30      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\dsuiext.dll
0x0000000006135b40      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\시작 메뉴\프로그램\보조프로그램\내게 필요한 옵션\desktop.ini
0x0000000006136d88      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x0000000006136f28      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\ndis.sys
0x0000000006137148      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\MGADIAG.EXE-2761AEAD.pf
0x0000000006137340      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\MDM.EXE-07915C2C.pf
0x0000000006137538      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\LSASS.EXE-20DB6D1B.pf
0x0000000006137730      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\LOGONUI.EXE-0AF22957.pf
0x0000000006137928      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\JDBGMGR.EXE-339B289F.pf
0x0000000006137b20      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\JAVATRIG.EXE-288A4A8E.pf
0x0000000006137cd8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\JAVAREG.EXE-390F45D3.pf
0x00000000061382b0      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\시작 메뉴\desktop.ini
0x00000000061386c8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\CMD.EXE-087B4001.pf
0x0000000006138c20      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\CONIME.EXE-13EEEA1A.pf
0x0000000006139028      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\IEDW.EXE-1880380E.pf
0x0000000006139208      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\INSTALL.EXE-096D8D48.pf
0x0000000006139400      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\IMSCINST.EXE-009A1717.pf
0x00000000061395f8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\IMJPMIG.EXE-03882F7A.pf
0x00000000061397f0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\IMEKRMIG.EXE-3B39C898.pf
0x00000000061399e8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\IMAPI.EXE-0BF740A4.pf
0x0000000006139be0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\IESETUP.EXE-07836DD7.pf
0x000000000613a780      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\CONTROL.EXE-013DBFB5.pf
0x000000000613b0d8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\intelide.sys
0x000000000613b740      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\EXPLORER.EXE-082F38A9.pf
0x000000000613b938      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\DWWIN.EXE-30875ADC.pf
0x000000000613bb30      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\DUMPIT.EXE-1E701198.pf
0x000000000613be58      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND34.WAV
0x000000000613c5d8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\wmilib.sys
0x000000000613c788      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\compbatt.sys
0x000000000613cef8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\logon.scr
0x000000000613d2e8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\AECLIENT.EXE-1B9EB78E.pf
0x000000000613e228      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Administrator\시작 메뉴\프로그램\보조프로그램\시스템 도구\Internet Explorer(추가 기능 없음).lnk
0x000000000613e2c0      1      0 ------ \Device\KSENUM#00000002\{9B365890-165F-11D0-A195-0020AFD156E4}
0x000000000613e430      1      0 ------ \Device\KSENUM#00000002\{9B365890-165F-11D0-A195-0020AFD156E4}
0x000000000613ecf8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\History\desktop.ini
0x000000000613ed90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\mfc42loc.dll
0x000000000613f2d0      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\IETldCache\index.dat
0x000000000613f8b0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x000000000613fa20      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x000000000613fac0      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\IETldCache\index.dat
0x000000000613fd68      1      1 ------ \Device\NamedPipe\ROUTER
0x000000000613ff28      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\dmio.sys
0x0000000006144380      2      1 ------ \Device\NamedPipe\lsass
0x00000000061448a8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9.Manifest
0x0000000006148e30      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x000000000614e0b8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VFP6.EXE-33158A31.pf
0x000000000614e2b0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VCREDIST_X86.EXE-353E94E5.pf
0x000000000614e4a8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VBSDICLI.EXE-26FCF807.pf
0x000000000614e6a0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VARPC.EXE-1DDB0C67.pf
0x000000000614e898      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VALEC.EXE-0A03C003.pf
0x000000000614ea90      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\USERINIT.EXE-30B18140.pf
0x000000000614ec88      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\UPGRADER.EXE-1A1DEF8F.pf
0x000000000614f4a8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x0000000006150028      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\SETUP.EXE-1F6BBE9D.pf
0x00000000061501e0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\SQLDBREG.EXE-34C2DB22.pf
0x00000000061503d8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\SPUPDSVC.EXE-21B36524.pf
0x00000000061505d0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\SPOOLSV.EXE-282F76A7.pf
0x00000000061507c8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\SHMGRATE.EXE-1BA69E68.pf
0x00000000061509c0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\SETUP50.EXE-362FF7C9.pf
0x0000000006150bb8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\SETUP.EXE-393E66AE.pf
0x0000000006150ee8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\srv.sys
0x00000000061510a0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-4B06FC06.pf
0x0000000006151298      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-49F747DB.pf
0x0000000006151490      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-495F8C2C.pf
0x0000000006151688      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-470F11BD.pf
0x0000000006151880      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-46C96BCA.pf
0x0000000006151a78      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-45736D66.pf
0x0000000006151c70      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-451FC2C0.pf
0x0000000006151f90      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\scsiport.sys
0x0000000006152090      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\WGA-FIX.EXE-30D22DCD.pf
0x0000000006152288      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\WFCCLEAN.EXE-264721CA.pf
0x0000000006152480      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VS60WIZ.EXE-1A6F3860.pf
0x0000000006152678      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VMTOOLSD.EXE-2376BC03.pf
0x0000000006152870      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VMACTHLP.EXE-0790714A.pf
0x0000000006152a68      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VISDATA.EXE-029F2BBD.pf
0x0000000006152c60      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\VFP6RUN.EXE-11EE9393.pf
0x0000000006152f90      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\mrxsmb.sys
0x0000000006153450      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\fltMgr.sys
0x00000000061535d0      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND14.WAV
0x0000000006153670      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\시작 메뉴\프로그램\보조프로그램\통신\무선 네트워크 설치 마법사.lnk
0x0000000006153708      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\My Documents\My Pictures\Desktop.ini
0x0000000006153920      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\mup.sys
0x00000000061541e8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\ADSX86.EXE-297E4D0F.pf
0x0000000006154560      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND29.WAV
0x0000000006154a78      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND20.WAV
0x0000000006154f90      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND39.WAV
0x0000000006155378      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND35.WAV
0x0000000006155890      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND28.WAV
0x0000000006155d68      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND30.WAV
0x0000000006155ef8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\stdole2.tlb
0x0000000006155f90      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\sens.dll
0x00000000061563b0      1      0 RW---- \Device\HarddiskVolume1\WINDOWS\Prefetch\Layout.ini
0x00000000061568d8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\mspaint.exe
0x00000000061569b0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\DEVENV.EXE-07A388CA.pf
0x0000000006156ba8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\DDUPD.EXE-01D98088.pf
0x0000000006156da0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\DDCONV.EXE-07468050.pf
0x00000000061578c8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\vsock.sys
0x0000000006158178      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Administrator\시작 메뉴\프로그램\보조프로그램\사용자 정의 문자 편집기.lnk
0x00000000061582b0      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\시작 메뉴\프로그램\보조프로그램\그림판.lnk
0x0000000006158428      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND24.WAV
0x00000000061585c8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\disk.sys
0x00000000061587d8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000006158940      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND19.WAV
0x0000000006158e58      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND21.WAV
0x0000000006158f28      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\dmload.sys
0x00000000061592c8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\defrag.exe
0x00000000061594c0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\WUAUCLT.EXE-399A8E72.pf
0x00000000061596b8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\WSCRIPT.EXE-32960AB9.pf
0x00000000061598b0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\WSCNTFY.EXE-1B24F5EB.pf
0x0000000006159aa8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\WPIE15.EXE-0ACC431E.pf
0x0000000006159ca0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\WINLOGON.EXE-32C57D49.pf
0x0000000006159e98      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\WINDOWS XP KEYGEN.EXE-377F3E97.pf
0x000000000615a520      2      0 R--r-- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\PINBALL.MID
0x000000000615a8d0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\CSRSS.EXE-12B63473.pf
0x000000000615aaa0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\CRYPTSYS.EXE-1322D385.pf
0x000000000615b300      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\volsnap.sys
0x000000000615bb80      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND17.WAV
0x000000000615c1c0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x000000000615c4f0      1      1 R--rw- \Device\HarddiskVolume1\Program Files\Windows Media Player
0x000000000615c5a0      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\시작 메뉴\프로그램\게임\카드놀이.lnk
0x000000000615c860      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\dsquery.dll
0x000000000615c8f8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\dsquery.dll
0x000000000615c9b8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wshext.dll
0x000000000615cb78      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\ALG.EXE-0F138680.pf
0x000000000615d1a8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x000000000615d288      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\msasn1.dll
0x000000000615d320      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\shdocvw.dll
0x000000000615d3b8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x000000000615d450      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wintrust.dll
0x000000000615d4e8      1      1 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball
0x000000000615dd18      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\APILOAD.EXE-0C602EDC.pf
0x000000000615e9c0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\bootvid.dll
0x000000000615ed88      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND111.WAV
0x000000000615f1d8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x000000000615f3a8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\시작 메뉴\프로그램\시작프로그램\desktop.ini
0x000000000615fba8      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\PINBALL.DAT
